TF01,Golf is the most popular game in Dubai,0,3,5
TF02,A driver will go further than an iron,1,2,2
TF03,The course Wentworth Golf Club is in Scotland,0,2,2
TF04,The term "birdie" in golf means scoring one stroke under par on a hole,1,2,2
TF05,The average score for a man through a full round of golf is around 120,0,3,2
TF06,The dimples on a golf ball are designed to help the ball travel straighter,0,1,1
TF07,The jacket won by the winner of the masters is green,1,2,1
TF08,The term "forecaddie" refers to a caddie who primarily helps the player with their putting,0,4,3
TF09,A 9 iron will go further than a 2 iron,0,2,2
TF10,The first Masters tournament was played in 1939,0,6,4
TF11,Golf was banned in Scotland from 1457 to 1502 because it was considered a distraction from archery practice,1,4,3
TF12,The longest drive ever recorded in a professional golf tournament is over 500 yards,1,2,2
TF13,Golf has been played on the moon,1,2,2
TF14,The "Ryder Cup" was first contested in 1927,1,8,5
TF15,The term "albatross" in golf means scoring two strokes under par on a hole,0,3,3
TF16,The record for hole-in-ones is 51,1,2,2
TF17,On average there are 150000 hole-in-ones each year,1,5,4
TF18,The term "divot" refers to a piece of turf cut out of the ground by a golf club when the ball is struck,1,2,2
TF19,The term PW in golf means "Play Well",0,2,2
TF20,The longest legal length of a driver shaft is 46in,1,6,4
TF21,abc,0,1,2
